# List of control key names defined by getkey.
# The columns `u` and `w` indicate whether these key names are available on
# Unix (& Linux & Mac) or Windows, respectively.  The asterisk to the right
# of each indicates if the listed code(s) is canonical on that platform,
# i.e. that key.name(code) would return that name.

  w* CTRL_HOME                    '\xe0w'
u w  CTRL_I                       '\t'
  w* CTRL_INSERT                  '\xe0\x92'
u w* CTRL_J                       '\n'
u*w* CTRL_K                       '\x0b'
u*w* CTRL_L                       '\x0c'
  w* CTRL_LEFT                    '\xe0s'
u w  CTRL_LEFT BRACKET            '\x1b'
u w  CTRL_M                       '\r'
u*w* CTRL_N                       '\x0e'
u*w* CTRL_O                       '\x0f'
u*w* CTRL_P                       '\x10'
  w* CTRL_PAGE_DOWN               '\xe0v'
u*w* CTRL_Q                       '\x11'
u*w* CTRL_R                       '\x12'
  w* CTRL_RIGHT                   '\xe0t'
u*w* CTRL_RIGHT BRACKET           '\x1d'
u*w* CTRL_S                       '\x13'
u*w* CTRL_T                       '\x14'
u*w* CTRL_U                       '\x15'
u*w* CTRL_UNDERSCORE              '\x1f'
  w* CTRL_UP                      '\xe0\x8d'
u*w* CTRL_V                       '\x16'
u*w* CTRL_W                       '\x17'
u*w* CTRL_X                       '\x18'
u*w* CTRL_Y                       '\x19'
u*w* CTRL_Z                       '\x1a'
u*w* DELETE                       u'\x1b[3~', w'\xe0S'
u*w* DOWN                         u'\x1b[B', w'\xe0P'
u*w* END                          u'\x1b[F', w'\xe0O'
u*w* F1                           u'\x1bOP', w'\x00;'
u*w* F10                          u'\x1bO21~', w'\x00D'
u*w* F11                          u'\x1bO23~', w'\xe0\x85'
u*w* F12                          u'\x1bO24~', w'\xe0\x86'
u*w* F2                           u'\x1bOQ', w'\x00<'
u*w* F3                           u'\x1bOR', w'\x00='
u*w* F4                           u'\x1bOS', w'\x00>'
u*w* F5                           u'\x1bO15~', w'\x00?'
u*w* F6                           u'\x1bO17~', w'\x00@'
u*w* F7                           u'\x1bO18~', w'\x00A'
u*w* F8                           u'\x1bO19~', w'\x00B'
u*w* F9                           u'\x1bO20~', w'\x00C'
u*w* HOME                         u'\x1b[H', w'\xe0G'
u*w* INSERT                       u'\x1b[2~', w'\xe0R'
u*w* LEFT                         u'\x1b[D', w'\xe0K'
u*w* PAGE_DOWN                    u'\x1b[6', w'\xe0Q'
u*w* PAGE_UP                      u'\x1b[5', w'\xe0I'
u*w* RIGHT                        u'\x1b[C', w'\xe0M'
u*w* UP                           u'\x1b[A', w'\xe0H'
